A,B,C,grid_loc
5,26,9,"3,B"
5,26,9,"3,B"
3,26,9,"3,B"
6,26,9,"3,B"
5,26,9,"3,B"
3,26,15,"3,B"
5,26,15,"3,B"
4,26,15,"3,B"
5,26,15,"3,B"
6,26,15,"3,B"
6,26,15,"3,B"
6,26,8,"3,B"
4,26,8,"3,B"
6,26,8,"3,B"
8,26,8,"3,B"
5,26,8,"3,B"
5,15,11,"3,B"
5,18,11,"3,B"
5,18,12,"3,B"
5,18,12,"3,B"
5,18,12,"3,B"
5,18,12,"3,B"
5,18,12,"3,B"
5,18,12,"3,B"
5,18,12,"3,B"
5,18,12,"3,B"
5,18,12,"3,B"
5,18,12,"3,B"
5,18,12,"3,B"
5,18,12,"3,B"
5,18,12,"3,B"
5,18,12,"3,B"
6,18,12,"3,B"
6,18,12,"3,B"
6,18,12,"3,B"
6,18,12,"3,B"
6,18,12,"3,B"
6,24,12,"3,B"
6,24,12,"3,B"
6,24,12,"3,B"
6,24,12,"3,B"
6,24,12,"3,B"
6,24,12,"3,B"
6,24,12,"3,B"
6,24,12,"3,B"
6,24,12,"3,B"
6,24,12,"3,B"
6,24,12,"3,B"
6,24,12,"3,B"
